"CC*","Organization","(Generated on 2021-08-16 at 20:03 for 2021-07-17 through 2021-08-15)"
"True","American Museum of Natural History"
"False","Arcadia University"
"False","Arizona State University"
"False","Baylor University"
"False","Boston College"
"False","Boston University"
"False","Brookhaven National Laboratory"
"False","Brown University"
"False","CERN"
"False","Canisius College"
"False","Carnegie-Mellon University"
"False","DUNE"
"False","Duke University"
"False","Fairfield"
"False","Fermilab"
"False","Florida State University"
"False","Folding@Home Consortium (FAHC)"
"False","George Washington University"
"True","Georgia Institute of Technology"
"False","Icahn School of Medicine at Mount Sinai"
"False","Illinois Institute of Technology"
"False","Indiana University"
"False","International Gravitational-Wave Observatory Network (IGWN)"
"False","Jefferson Lab"
"False","Johns Hopkins University"
"False","Kansas State University"
"False","LSU School of Public Health"
"False","Lancaster University"
"False","Massachusetts Institute of Technology"
"False","National Institute of Allergy and Infectious Diseases"
"True","New Mexico State University"
"False","Open Science Grid"
"False","Purdue University"
"False","Rice University"
"False","Rochester Institute of Technology"
"False","Rowan University"
"False","Rutgers, The State University of New Jersey"
"False","SeaQuest"
"False","Southwest Oklahoma State University"
"False","Texas A&M University"
"False","The Ohio State University"
"False","The University of Kansas"
"True","Tufts University"
"False","University of Arizona"
"False","University of California, Berkeley"
"False","University of California, Davis"
"False","University of California, Merced"
"False","University of California, San Diego"
"False","University of California, San Francisco"
"False","University of California, Santa Barbara"
"False","University of Chicago"
"False","University of Guam"
"False","University of Hawaii at Manoa"
"False","University of Illinois Urbana-Champaign"
"False","University of Iowa"
"False","University of Maryland"
"False","University of Michigan"
"False","University of Pennsylvania"
"False","University of Pittsburgh"
"False","University of Rochester"
"False","University of South Carolina"
"False","University of South Dakota"
"False","University of Southern California"
"False","University of Texas at Austin"
"False","University of Utah"
"False","University of Wisconsin-Madison"
"False","Utrecht University"
"False","Vanderbilt University"
"True","Wayne State University"
