"CC*","Organization","(Generated on 2021-01-29 at 16:10 for 2020-07-01 through 2020-09-30)"
"True","American Museum of Natural History"
"False","Arcadia University"
"False","Arizona State University"
"False","Brookhaven National Laboratory"
"False","Brown University"
"False","CERN"
"False","CUNY Brooklyn College"
"False","Chicago State University"
"False","Clemson University"
"False","College of Charleston"
"False","Colorado School of Mines"
"False","Cornell University"
"False","DUNE"
"False","Darkside"
"False","Duke University"
"False","Fermilab"
"False","Florida State University"
"False","Folding@Home Consortium (FAHC)"
"False","George Washington University"
"True","Georgia Institute of Technology"
"False","Harvard Medical School"
"False","Harvard University"
"False","Illinois Institute of Technology"
"False","Indiana University"
"False","International Gravitational-Wave Observatory Network (IGWN)"
"False","Jefferson Lab"
"False","LSU School of Public Health"
"False","Lancaster University"
"False","Massachusetts Institute of Technology"
"True","New Mexico State University"
"False","Open Science Grid"
"False","Oregon State University"
"False","Rensselaer Polytechnic Institute"
"False","Repertoire Immune Medicines"
"False","Rochester Institute of Technology"
"False","Rowan University"
"False","Rutgers, The State University of New Jersey"
"False","SeaQuest"
"False","Southern Illinois University"
"False","Stanford University"
"False","State University of New York at Buffalo"
"False","Texas A&M University"
"False","The University of Kansas"
"True","Tufts University"
"False","University of Arizona"
"False","University of California, Berkeley"
"False","University of California, Davis"
"False","University of California, Irvine"
"False","University of California, Riverside"
"False","University of California, San Diego"
"False","University of California, San Francisco"
"False","University of Chicago"
"False","University of Colorado Boulder"
"False","University of Florida"
"False","University of Hawaii at Manoa"
"False","University of Illinois Chicago"
"False","University of Maryland"
"False","University of Minnesota"
"False","University of Nebraska"
"False","University of Nebraska-Lincoln"
"False","University of Nevada, Reno"
"False","University of New Mexico"
"False","University of North Carolina at Chapel Hill"
"False","University of North Dakota"
"True","University of Notre Dame"
"False","University of Oklahoma"
"False","University of Oregon"
"False","University of Oxford"
"False","University of Pennsylvania"
"False","University of Pittsburgh"
"False","University of Southern California"
"False","University of Texas at Austin"
"False","University of Utah"
"False","University of Virginia"
"False","University of Wisconsin-Madison"
"False","Utrecht University"
"False","Vanderbilt University"
"False","Washington University in St. Louis"
"True","Wayne State University"
"False","West Chester University of Pennsylvania"
"False","Wichita State University"
