Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
achapp,BiostatsChapple,2021-03-24,2021-03-24,15,20.41583333333333,1002.1572222222218,383
yxfu,PixleyLab,2021-03-12,2021-03-12,15,65.27222222222223,1001.2441666666666,201
sjsabin,DemoSims,2021-03-14,2021-03-15,15,10.755277777777778,1026.6374999999998,92
kneupane,CLAS12,2021-03-22,2021-03-22,23,75.11555555555556,1006.2772222222223,116
stranda,holosim,2021-03-24,2021-03-24,28,270.62611111111113,1000.4175000000002,863
valetov,LancasterPPS,2021-03-18,2021-03-18,16,29.25138888888889,1001.0999999999996,202
cgomes02,Tufts_Hempstead,2021-03-24,2021-03-25,22,8149.071944444445,1001.0980555555277,15592
shuangerli,EvolSims,2021-03-18,2021-03-24,19,299.00388888888887,1000.0166666666701,2510
TimtheTyrant,UCSD_Rappel,2021-03-24,2021-03-27,20,22.22277777777778,1001.701666666668,370
kvarela,SSGAforCSP,2021-03-22,2021-03-25,17,213.81861111111112,1000.108888888884,7546
nishantpanicker,BiomedInfo,2021-03-24,2021-03-25,27,15.565277777777778,1001.6202777777778,359
jstoppelman3,electrolytes,2021-03-19,2021-03-19,16,18.087222222222223,1005.4041666666664,132
yangpink,EvolSims,2021-03-23,2021-03-23,16,1136.483611111111,1000.9300000000015,860
jeinck,Michigan_Brines,2021-03-11,2021-03-28,29,217.00611111111112,1002.7283333333332,271
lavalv46,Rowan_Nguyen,2021-03-10,2021-03-11,18,72.07472222222222,1000.3724999999994,805
vdiogo,psychosisfmri,2021-03-30,2021-03-30,15,7.035,1002.8644444444441,55
oshaughn,CompBinFormMod,2021-03-14,2021-03-14,23,7.278888888888889,1001.9172222222221,283
vbondar,PainDrugs,2021-03-17,2021-03-18,26,16.623055555555556,1000.7744444444443,274
MinLinUConn,UConn_Zhang,2021-03-25,2021-03-27,34,1750.1013888888888,1000.2613888888887,14074
amoral70,DemoSims,2021-03-26,2021-03-27,35,9.589166666666667,1009.4444444444445,91
