"CC*","Organization","(Generated on 2021-08-09 at 20:07 for 2021-07-10 through 2021-08-08)"
"True","American Museum of Natural History"
"False","Arcadia University"
"False","Arizona State University"
"False","Baylor University"
"False","Boston University"
"False","Brookhaven National Laboratory"
"False","Brown University"
"False","CERN"
"False","CUNY Brooklyn College"
"False","Canisius College"
"False","Carnegie-Mellon University"
"False","DUNE"
"False","Duke University"
"False","Fairfield"
"False","Fermilab"
"False","Florida State University"
"False","Folding@Home Consortium (FAHC)"
"False","George Washington University"
"True","Georgia Institute of Technology"
"False","Illinois Institute of Technology"
"False","Indiana University"
"False","International Gravitational-Wave Observatory Network (IGWN)"
"False","Jefferson Lab"
"False","Johns Hopkins University"
"False","LSU School of Public Health"
"False","Lancaster University"
"False","Massachusetts Institute of Technology"
"False","Michigan State University"
"False","National Institute of Allergy and Infectious Diseases"
"True","New Mexico State University"
"False","Open Science Grid"
"False","Pennsylvania State University"
"False","Purdue University"
"False","Rice University"
"False","Rochester Institute of Technology"
"False","Rowan University"
"False","Rutgers, The State University of New Jersey"
"False","SeaQuest"
"False","Southwest Oklahoma State University"
"False","Texas A&M University"
"False","The University of Kansas"
"True","Tufts University"
"False","University of Arizona"
"False","University of California, Berkeley"
"False","University of California, Davis"
"False","University of California, Merced"
"False","University of California, San Diego"
"False","University of California, San Francisco"
"False","University of California, Santa Barbara"
"False","University of Chicago"
"False","University of Guam"
"False","University of Hawaii at Manoa"
"False","University of Iowa"
"False","University of Maryland"
"False","University of Michigan"
"False","University of North Dakota"
"False","University of Pennsylvania"
"False","University of Pittsburgh"
"False","University of Rochester"
"False","University of South Carolina"
"False","University of South Dakota"
"False","University of Southern California"
"False","University of Texas at Austin"
"False","University of Utah"
"False","University of Wisconsin-Madison"
"False","Utrecht University"
"False","Vanderbilt University"
"True","Wayne State University"
