Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
achapp,BiostatsChapple,2021-03-24,2021-03-24,15,20.41583333333333,1002.1572222222218,383
shuangerli,EvolSims,2021-03-18,2021-03-24,18,299.06111111111113,1000.0425000000035,2512
yxfu,PixleyLab,2021-03-12,2021-03-12,15,65.27222222222223,1001.2441666666666,201
valetov,LancasterPPS,2021-03-18,2021-03-18,16,29.39,1003.4861111111107,203
TimtheTyrant,UCSD_Rappel,2021-03-24,2021-03-27,20,22.22277777777778,1001.701666666668,370
kneupane,CLAS12,2021-03-22,2021-03-22,23,75.11555555555556,1006.2772222222223,116
cgomes02,Tufts_Hempstead,2021-03-24,2021-03-25,22,8149.071944444445,1001.0980555555277,15592
kvarela,SSGAforCSP,2021-03-22,2021-03-25,17,213.81861111111112,1000.108888888884,7546
nishantpanicker,BiomedInfo,2021-03-24,2021-03-25,25,15.565277777777778,1001.620277777778,359
stranda,holosim,2021-03-24,2021-03-24,28,270.62611111111113,1000.4175000000001,863
yangpink,EvolSims,2021-04-02,2021-04-04,16,2284.2897222222223,1013.2916666666675,2794
jeinck,Michigan_Brines,2021-03-11,2021-03-28,27,217.00611111111112,1002.7283333333332,271
golmoham,SourceCoding,2021-04-05,2021-04-05,16,21.11,1002.3941666666667,365
maplewen,UCMerced_Han,2021-04-05,2021-04-05,38,164.32916666666668,1000.1036111111107,672
lavalv46,Rowan_Nguyen,2021-03-10,2021-03-11,16,72.07472222222222,1000.3724999999994,805
vdiogo,psychosisfmri,2021-03-12,2021-03-25,27,4.301388888888889,1003.7199999999997,102
oshaughn,CompBinFormMod,2021-03-14,2021-03-14,21,7.278333333333333,1001.923611111111,283
vbondar,PainDrugs,2021-03-17,2021-03-18,24,16.623055555555556,1000.7744444444443,274
MinLinUConn,UConn_Zhang,2021-03-25,2021-03-27,32,1750.1013888888888,1000.2613888888887,14074
amoral70,DemoSims,2021-03-26,2021-03-27,33,9.703333333333333,1009.4855555555555,94
ch4mi,g4PSI,2021-04-02,2021-04-04,40,336.77694444444444,1001.2141666666656,1854
