Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
yangpink,EvolSims,2021-03-16,2021-03-18,17,715.0466666666666,1002.8727777778101,10040
jstoppelman3,electrolytes,2021-03-19,2021-03-19,17,18.231666666666666,1007.3163888888886,133
valetov,LancasterPPS,2021-03-18,2021-03-18,17,29.39,1003.4861111111107,203
achapp,BiostatsChapple,2021-03-24,2021-03-24,15,20.41583333333333,1002.1572222222219,383
cgomes02,Tufts_Hempstead,2021-03-24,2021-03-25,23,8149.071944444445,1001.0980555555277,15592
vbondar,PainDrugs,2021-03-17,2021-03-18,32,16.623055555555556,1000.7744444444443,274
kneupane,CLAS12,2021-03-22,2021-03-22,24,75.12083333333334,1012.1077777777779,116
shuangerli,EvolSims,2021-03-15,2021-03-21,18,295.5230555555556,1000.1613888888921,2433
kvarela,SSGAforCSP,2021-03-22,2021-03-25,18,213.81861111111112,1000.108888888884,7546
stranda,holosim,2021-03-24,2021-03-24,30,270.62611111111113,1000.4175000000001,863
yxfu,PixleyLab,2021-03-12,2021-03-12,21,65.27222222222223,1001.2441666666666,201
sjsabin,DemoSims,2021-03-14,2021-03-15,22,10.755277777777778,1026.6374999999998,92
oshaughn,CompBinFormMod,2021-03-14,2021-03-14,31,7.278333333333333,1001.923611111111,283
