Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
shuangerli,EvolSims,2021-03-18,2021-03-24,19,299.00388888888887,1000.0166666666701,2510
yangpink,EvolSims,2021-03-23,2021-03-23,16,1136.483611111111,1000.9300000000017,860
stranda,holosim,2021-03-24,2021-03-24,28,270.62611111111113,1000.4175000000002,863
TimtheTyrant,UCSD_Rappel,2021-03-24,2021-03-27,20,22.125555555555554,1001.6330555555569,369
kneupane,CLAS12,2021-03-22,2021-03-22,23,75.12083333333334,1012.1077777777779,116
achapp,BiostatsChapple,2021-03-24,2021-03-24,15,20.41583333333333,1002.1572222222219,383
kvarela,SSGAforCSP,2021-03-22,2021-03-25,17,213.81861111111112,1000.108888888884,7546
tuxino,REDTOP,2021-03-15,2021-03-15,15,468.3863888888889,1001.1869444444445,309
valetov,LancasterPPS,2021-03-18,2021-03-18,17,29.39,1003.4861111111107,203
yxfu,PixleyLab,2021-03-12,2021-03-12,16,65.27222222222223,1001.2441666666666,201
jstoppelman3,electrolytes,2021-03-19,2021-03-19,17,18.231666666666666,1007.3163888888887,133
cgomes02,Tufts_Hempstead,2021-03-24,2021-03-25,23,8149.071944444445,1001.0980555555277,15592
sjsabin,DemoSims,2021-03-14,2021-03-15,17,10.755277777777778,1026.6374999999998,92
jeinck,Michigan_Brines,2021-03-11,2021-03-28,32,217.00611111111112,1002.7283333333332,271
vdiogo,psychosisfmri,2021-03-30,2021-03-30,15,7.151944444444444,1014.5044444444441,56
oshaughn,CompBinFormMod,2021-03-14,2021-03-14,26,7.278888888888889,1001.9172222222221,283
vbondar,PainDrugs,2021-03-17,2021-03-18,29,16.623055555555556,1000.7744444444443,274
MinLinUConn,UConn_Zhang,2021-03-25,2021-03-27,37,1750.1013888888888,1000.2613888888887,14074
amoral70,DemoSims,2021-03-26,2021-03-27,38,9.703333333333333,1009.4855555555555,94
